"MUNIC_RES","ANO","POPULACAO"
"1711951","2021",4470
"1712009","2021",3199
"1712157","2021",1984
"1712405","2021",3727
"1712454","2021",3200
"1712504","2021",5332
"1712702","2021",2773
"1712801","2021",3470
"1713205","2021",17628
"1713304","2021",13551
"1713601","2021",8182
"1713700","2021",2311
"1713809","2021",6830
"1713957","2021",3623
"1714203","2021",9256
"1714302","2021",3772
"1714880","2021",12014
"1715002","2021",4348
"1715101","2021",4450
"1715150","2021",2332
"1715259","2021",2768
"1715507","2021",1124
"1715705","2021",6234
"1715754","2021",7694
"1716109","2021",52521
"1716208","2021",10426
"1716307","2021",4885
"1716505","2021",13964
"1716604","2021",11996
"1716653","2021",5546
"1716703","2021",8078
"1717008","2021",4414
"1717206","2021",3038
"1717503","2021",7830
"1717800","2021",4586
"1717909","2021",8192
"1718006","2021",3200
"1718204","2021",53618
"1718303","2021",8563
"1718402","2021",3668
"1718451","2021",2746
"1718501","2021",4389
"1718550","2021",4723
"1718659","2021",2211
"1718709","2021",2879
"1718758","2021",6498
"1718808","2021",4876
"1718840","2021",3371
"1718865","2021",7678
"1718881","2021",3537
"1718899","2021",2407
"1718907","2021",4864
"1719004","2021",2928
"1720002","2021",2530
"1720101","2021",5457
"1720150","2021",1610
"1720200","2021",12445
"1720259","2021",3106
"1720309","2021",4898
"1720499","2021",3848
"1720655","2021",5452
"1720804","2021",8965
"1720853","2021",2007
"1720903","2021",16966
"1720937","2021",2183
"1720978","2021",2831
"1721000","2021",313349
"1721109","2021",7688
"1721208","2021",22820
"1721257","2021",1952
"1721307","2021",2785
"1722081","2021",11783
"1722107","2021",11500
"2100055","2021",113783
"2100105","2021",6631
"2100154","2021",12731
"2100204","2021",22126
"2100303","2021",26979
"2100402","2021",8250
"2100436","2021",28066
"2100477","2021",31967
"2100501","2021",11233
"2100550","2021",7047
"2100600","2021",42017
"2100709","2021",27170
"2100808","2021",16054
"2100832","2021",17582
"2100873","2021",15675
"2100907","2021",47095
"2100956","2021",32825
"2101004","2021",30014
"2101103","2021",12234
"2101202","2021",105094
"2101251","2021",17446
"2101301","2021",18726
"2101350","2021",5696
"2101400","2021",96951
"2101509","2021",19026
"2101608","2021",88895
"2101707","2021",63891
"2101731","2021",7586
"2101772","2021",11347
"2101806","2021",5643
"2101905","2021",21317
"2101939","2021",6102
"2101970","2021",8494
"2102002","2021",42010
"2102036","2021",35095
